1 党的机关、国家机关、群众团体和社会组织、企事业单位负责人
4.07.05.05 安全防范系统安装维护员
4.07.06 市场管理服务人员
4.07.06.01 商品监督员
4.07.06.02 商品防损员
4.07.06.03 市场管理员
4.07.07 会议及展览服务人员
4.07.07.01 会展设计师
4.07.07.02 装饰美工
4.07.07.03 模特
4.07.99 其他租赁和商务服务人员
4.08 技术辅助服务人员
4.08.01 气象服务人员
4.08.01.00 航空气象员
4.08.02 海洋服务人员
4.08.02.01 海洋水文气象观测员L
4.08.02.02 海洋浮标工
4.08.02.03 海洋水文调查员L
4.08.02.04 海洋生物调查员L
4.08.03 测绘服务人员
4.08.03.01 大地测量员L
4.08.03.02 摄影测量员 L
4.08.03.03 地图绘制员
4.08.03.04 工程测量员
4.08.03.05 不动产测绘员
4.08.03.06 海洋测绘员 L
4.08.03.07 无人机测绘操控员L
4.08.04 地理信息服务人员
4.08.04.01 地理信息采集员L
4.08.04.02 地理信息处理员L
4.08.04.03 地理信息应用作业员L
4.08.05 检验、检测和计量服务人员
4.08.05.01 农产品食品检验员L
4.08.05.02 纤维检验员
4.08.05.03 贵金属首饰与宝玉石检测员
4.08.05.04 药物检验员
4.08.05.05 机动车检测工
4.08.05.06 计量员
4.08.06 环境监测服务人员
4.08.06.00 环境监测员L
4.08.07 地质勘查人员
4.08.07.01 地勘钻探工
4.08.07.02 地掘掘进工
4.08.07.03 物探工
4.08.07.04 地质调查员L
4.08.07.05 地质实验员
4.08.08 专业化设计服务人员
4.08.08.01 花艺环境设计师
4.08.08.02 纺织面料设计师
4.08.08.03 家用纺织品设计师
4.08.08.04 色彩搭配师
4.08.08.05 工艺美术品设计师
4.08.08.06 装潢美术设计师
4.08.08.07 室内装饰设计师
4.08.08.08 广告设计师
4.08.08.09 包装设计师
4.08.08.10 玩具设计师
4.08.08.11 首饰设计师
4.08.08.12 家具设计师
4.08.08.13 陶瓷产品设计师
4.08.08.14 陶瓷工艺师
4.08.08.15 地毯设计师
4.08.08.16 皮具设计师
4.08.08.17 鞋类设计师
4.08.08.18 灯具设计师
4.08.08.19 照明设计师
4.08.08.20 形象设计师
4.08.09 摄影扩印服务人员
4.08.09.01 商业摄影师
4.08.09.02 冲印师
4.08.99 其他技术辅助服务人员
4.09 水利、环境和公共设施管理服务人员
4.09.01 水利设施管养人员
4.09.01.01 河道修防工
4.09.01.02 水工混凝土维修工
4.09.01.03 水工土石维修工
4.09.01.04 水工监测工
4.09.01.05 水工闸门运行工
4.09.02 水文服务人员
4.09.02.01 水文勘测工
4.09.02.02 水文勘测船工
4.09.03 水土保持人员
4.09.03.00 水土保持员 L
4.09.04 农田灌排人员
4.09.04.00 灌区管理工
4.09.05  自然保护区和草地监护人员
4.09.05.01 自然保护区巡护监测员L
4.09.05.02 草地监护员 L
4.09.06 野生动植物保护人员
4.09.06.01 野生动物保护员L
4.09.06.02 野生植物保护员L
4.09.06.03 标本员
4.09.06.04 展出动物保育员
4.09.07 环境治理服务人员
4.09.07.01 污水处理工L
4.09.07.02 工业固体废物处理处置工L
4.09.07.03 危险废物处理工L
4.09.08 环境卫生服务人员
4.09.08.01 保洁员L
4.09.08.02 生活垃圾清运工L
4.09.08.03 生活垃圾处理工L
4.09.09 有害生物防制人员
4.09.09.00 有害生物防制员L
4.09.10 绿化与园艺服务人员
4.09.10.01 园林绿化工L
4.09.10.02 草坪园艺师
4.09.10.03 盆景工
4.09.10.04 假山工
4.09.10.05 插花花艺师
4.09.99 其他水利、环境和公共设施管理服务人员
4.10 居民服务人员
4.10.01  生活照料服务人员
4.10.01.01 婴幼儿发展引导员
4.10.01.02 育婴员
4.10.01.03 保育员
4.10.01.04 孤残儿童护理员
4.10.01.05 养老护理员
4.10.01.06 家政服务员
4.10.02 服装裁剪和洗染织补人员
4.10.02.01 裁缝
4.10.02.02 洗衣师
4.10.02.03 染色师
4.10.02.04 皮革护理员
4.10.02.05 织补师
4.10.03 美容美发和浴池服务人员
4.10.03.01 美容师
4.10.03.02 美发师
4.10.03.03 美甲师
4.10.03.04 浴池服务员
4.10.03.05 修脚师
4.10.04 保健服务人员
4.10.04.01 保健调理师
4.10.04.02 保健按摩师
4.10.04.03 芳香保健师
4.10.05 婚姻服务人员
4.10.05.01 婚介师
4.10.05.02 婚礼策划师
4.10.05.03 婚姻家庭咨询师
4.10.06 殡葬服务人员
4.10.06.01 殡仪服务员
4.10.06.02 遗体防腐整容师
4.10.06.03 遗体火化师
4.10.06.04 公墓管理员
4.10.07 宠物服务人员
4.10.07.01 宠物健康护理员
4.10.07.02 宠物驯导师
4.10.07.03 宠物美容师
4.10.99 其他居民服务人员
4.11 电力、燃气及水供应服务人员
4.11.01 电力供应服务人员
4.11.01.00 供电服务员
4.11.02 燃气供应服务人员
4.11.02.00 燃气供应服务员
4.11.03 水供应服务人员
4.11.03.01 水供应服务员
4.11.03.02 村镇供水员
4.11.99 其他电力、燃气及水供应服务人员
4.12 修理及制作服务人员
4.12.01  汽车摩托车修理技术服务人员
4.12.01.01 汽车维修工
4.12.01.02 摩托车修理工
4.12.02 计算机和办公设备维修人员
4.12.02.01 计算机维修工
4.12.02.02 办公设备维修工
4.12.02.03 信息通信网络终端维修员
4.12.03 家用电子电器产品维修人员
4.12.03.01 家用电器产品维修工
4.12.03.02 家用电子产品维修工
4.12.04 日用产品修理服务人员
4.12.04.01 自行车与电动自行车维修工
4.12.04.02 修鞋工
4.12.04.03 钟表维修工
4.12.04.04 锁具修理工
4.12.04.05 燃气具安装维修工
4.12.04.06 照相器材维修工
4.12.05 乐器维修人员
4.12.05.01 乐器维修工
4.12.05.02 钢琴调律师
4.12.06 印章制作人员
4.12.06.00 印章制作工
4.12.99 其他修理及制作服务人员
4.13 文化、体育和娱乐服务人员
4.13.01  群众文化活动服务人员
4.13.01.01 群众文化指导员
4.13.01.02 礼仪主持人
4.13.01.03 讲解员
4.13.02 广播、电视、电影和影视录音制作人员
4.13.02.01 影视置景制作员
4.13.02.02 动画制作员
4.13.02.03 影视烟火特效员
4.13.02.04 电影洗印员
4.13.02.05 电影放映员
4.13.02.06 音响调音员
4.13.02.07 照明工
4.13.02.08 影视服装员
4.13.02.09 电视摄像员
4.13.03 文物保护作业人员
4.13.03.01 考古探掘工
4.13.03.02 文物修复师
4.13.04 健身和娱乐场所服务人员
4.13.04.01 社会体育指导员
4.13.04.02 体育场馆管理员
4.13.04.03 游泳救生员
4.13.04.04 康乐服务员
4.13.05 文化、娱乐、体育经纪代理人员
4.13.05.01 文化经纪人
4.13.05.02 体育经纪人
4.13.99 其他文化、体育和娱乐服务人员
4.14 健康服务人员
4.14.01  医疗辅助服务人员
4.14.01.00 医疗临床辅助服务员
4.14.02 健康咨询服务人员
4.14.02.01 公共营养师
4.14.02.02 健康管理师
4.14.02.03 生殖健康咨询师
4.14.03 康复矫正服务人员
4.14.03.01 助听器验配师
4.14.03.02 口腔修复体制作工
4.14.03.03 眼镜验光员
4.14.03.04 眼镜定配工
4.14.03.05 听觉口语师
4.14.04 公共卫生辅助服务人员
4.14.04.00 公共卫生辅助服务员
4.14.99 其他健康服务人员
4.99 其他社会生产和生活服务人员
4.99.00 其他社会生产和生活服务人员
5 农、林、牧、渔业生产及辅助人员
5.01 农业生产人员
5.01.01 作物种子（苗）繁育生产人员
5.01.01.01 种子繁育员
5.01.01.02 种苗繁育员
5.01.02 农作物生产人员
5.01.02.01 农艺工
5.01.02.02 园艺工
5.01.02.03 食用菌生产工
5.01.02.04 热带作物裁培工
5.01.02.05 中药材种植员
5.01.99 其他农业生产人员
5.02 林业生产人员
5.02.01 林木种苗繁育人员
5.02.01.00 林木种苗工L
5.02.02 营造林人员
5.02.02.00 造林更新工L
5.02.03 森林经营和管护人员
5.02.03.01 护林员 L
5.02.03.02 森林抚育工L
5.02.04 木材采运人员
5.02.04.01 林木采伐工
5.02.04.02 集材作业工
5.02.04.03 木材水运工
5.02.99 其他林业生产人员
5.03 畜牧业生产人员
5.03.01 畜禽种苗繁育人员
5.03.01.01 家畜繁殖员
5.03.01.02 家禽繁殖员
5.03.02 畜禽饲养人员
5.03.02.01 家畜饲养员
5.03.02.02 家离饲养员
5.03.03 特种经济动物饲养人员
5.03.03.01 经济昆虫养殖员
5.03.03.02 实验动物养殖员
5.03.03.03 特种动物养殖员
5.03.99 其他畜牧业生产人员
5.04 渔业生产人员
5.04.01 水产苗种繁育人员
5.04.01.01 水生动物苗种繁育工
5.04.01.02 水生植物苗种培育工
5.04.02 水产养殖人员
5.04.02.01 水生动物饲养工
5.04.02.02 水生植物裁培工
5.04.02.03 水产养殖潜水工
5.04.03 水产捕捞及有关人员
5.04.03.01 水产捕捞工
5.04.03.02 渔业船员
5.04.03.03 渔网具工
5.04.99 其他渔业生产人员
5.05 农、林、牧、渔业生产辅助人员
5.05.01 农业生产服务人员
5.05.01.00 农业技术员
5.05.02 动植物疫病防治人员
5.05.02.01 农作物植保员 L
5.05.02.02 林业有害生物防治员L
5.05.02.03 动物疫病防治员
5.05.02.04 动物检疫检验员
5.05.02.05 水生物病害防治员
5.05.02.06 水生物检疫检验员
5.05.03 农村能源利用人员
5.05.03.01 沼气工L
5.05.03.02 农村节能员 L
5.05.03.03 太阳能利用工L
5.05.03.04 微水电利用工L
5.05.03.05 小风电利用工L
5.05.04 农村环境保护人员
5.05.04.00 农村环境保护工L
5.05.05 农机化服务人员
5.05.05.01 农机驾驶操作员
5.05.05.02 农机修理工
5.05.05.03 农机服务经纪人
5.05.06 农副林特产品初加工人员
5.05.06.01 园艺产品加工工
5.05.06.02 棉花加工工
5.05.06.03 热带作物初制工
5.05.06.04 植物原料制取工
5.05.06.05 竹麻制品加工工
5.05.06.06 经济昆虫产品加工工
5.05.06.07 水产品原料处理工
5.05.99 其他农、林、牧、渔业生产辅助人员
5.99 其他农、林、牧、渔业生产及辅助人员
5.99.00 其他农、林、牧、渔业生产及辅助人员
6 生产制造及有关人员
6.01 农副产品加工人员
6.01.01 粮油加工人员
6.01.01.01 制米工
6.01.01.02 制粉工
6.01.01.03 制油工
6.01.02 饲料加工人员
6.01.02.00 饲料加工工
6.01.03 制糖人员
6.01.03.00 食糖制造工
6.01.04 畜禽制品加工人员
6.01.04.01 畜禽屠加工工
6.01.04.02 畜禽副产品加工工
6.01.04.03 肉制品加工工
6.01.04.04 蛋类制品加工工
6.01.05 水产品加工人员
6.01.05.01 水产品加工工
6.01.05.02 水产制品精制工
6.01.06 果蔬和坚果加工人员
6.01.06.00 果蔬坚果加工工
6.01.07 淀粉和豆制品加工人员
6.01.07.01 淀粉及淀粉糖制造工
6.01.07.02 植物蛋白制作工
6.01.07.03 豆制品制作工
6.01.99 其他农副产品加工人员
6.02 食品、饮料生产加工人员
6.02.01 培烤食品制造人员
6.02.01.01 糕点面包烘焙工
6.02.02 糖制品加工人员
6.02.01.02 糕点装饰师
6.02.02.01 糖果巧克力制造工
6.02.02.02 果脯蜜钱加工工
6.02.03 方便食品和罐头食品加工人员
6.02.03.01 米面主食制作工
6.02.03.02 冷冻食品制作工
6.02.03.03 罐头食品加工工
6.02.04  乳制品加工人员
6.02.04.01 乳品加工工
6.02.04.02 乳品评鉴师
6.02.05 调味品及食品添加剂制作人员
6.02.05.01 味精制造工
6.02.05.02 酱油酱类制作工
6.02.05.03 食醋制作工
6.02.05.04 精制制盐工
6.02.05.05 酶制剂制造工
6.02.05.06 柠檬酸制造工
6.02.05.07 调味品品评师
6.02.06 酒、饮料及精制茶制造人员
6.02.06.01 酿酒师
6.02.06.02 酒精酿造工
6.02.06.03 白酒酿造工
6.02.06.04 啤酒酿造工
6.02.06.05 黄酒酿造工
6.02.06.06 果露酒酿造工
6.02.06.07 品酒师
6.02.06.08 麦芽制麦工
6.02.06.09 饮料制作工
6.02.06.10 茶叶加工工
6.02.06.11 评茶员
6.02.99 其他食品、饮料生产加工人员
6.03 烟草及其制品加工人员
6.03.01 烟叶初加工人员
6.03.01.01 烟叶调制员
6.03.01.02 烟叶评级员
6.03.02 烟用材料生产人员
6.03.02.01 烟用二醋片制造工
6.03.02.02 烟用丝束制造工
6.03.03 烟草制品生产人员
6.03.03.01 烟机设备操作工
6.03.03.02 烟草评吸师
6.03.99 其他烟草及其制品加工人员
6.04 纺织、针织、印染人员
6.04.01 纤维预处理人员
6.04.01.01 开清棉工
6.04.01.02 丝麻毛纤维预处理工
6.04.01.03 纺织纤维梳理工
6.04.01.04 并条工
6.04.01.05 粗纱工
6.04.02 纺纱人员
6.04.02.01 纺纱工
6.04.02.02 缫丝工
6.04.03 织造人员
6.04.03.01 整经工
6.04.03.02 浆纱浆染工
6.04.03.03 织布工
6.04.03.04 意匠纹版工
6.04.04 针织人员
6.04.04.01 纬编工
6.04.04.02 经编工
6.04.04.03 横机工
6.04.05 非织造布制造人员
6.04.05.00 非织造布制造工
6.04.06 印染人员
6.04.06.01 印染前处理工
6.04.06.02 纺织染色工
6.04.06.03 印花工
6.04.06.04 纺织印花制版工
6.04.06.05 印染后整理工
6.04.06.06 印染染化料配制工
6.04.06.07 工艺染织品制作工
6.04.99 其他纺织、针织、印染人员
6.05 纺织品、服装和皮革、毛皮制品加工制作人员
6.05.01 纺织品和服装剪裁缝纫人员
6.05.01.01 服装制版师
6.05.01.02 裁剪工
6.05.01.03 缝纫工
6.05.01.04 缝纫品整型工
6.05.01.05 服装水洗工
6.05.01.06 绒线编织拼布工
6.05.02 皮革、毛皮及其制品加工人员
6.05.02.01 皮革及皮革制品加工工
6.05.02.02 毛皮及毛皮制品加工工
6.05.03 羽绒羽毛加工及制品制造人员
6.05.03.00 羽绒羽毛加工及制品充填工
6.05.04 鞋帽制作人员
6.05.04.01 制鞋工
6.05.04.02 制帽工
6.05.99 其他纺织品、服装和皮革、毛皮制品加工制作人员
6.06 木材加工、家具与木制品制作人员
6.06.01 木材加工人员
6.06.01.01 制材工
6.06.01.02 木竹藤材处理工
6.06.02 人造板制造人员
6.06.02.01 胶合板工
6.06.02.02 纤维板工
6.06.02.03 刨花板工
6.06.02.04 浸渍纸层压板工
6.06.02.05 人造板饰面工
6.06.03 木制品制造人员
6.06.03.01 手工木工
6.06.03.02 机械木工
6.06.03.03 木地板制造工
6.06.04 家具制造人员
6.06.04.00 家具制作工
6.06.99 其他木材加工、家具与木制品制作人员
6.07 纸及纸制品生产加工人员
6.07.01  制浆造纸人员
6.07.01.01 制浆工
6.07.01.02 制浆废液回收利用工L
6.07.01.03 造纸工
6.07.01.04 纸张整饰工
6.07.01.05 宣纸书画纸制作工
6.07.02 纸制品制作人员
6.07.02.00 纸箱纸盒制作工
6.07.99 其他纸及纸制品生产加工人员
6.08 印刷和记录媒介复制人员
6.08.01 印刷人员
6.08.01.01 印前处理和制作员
6.08.01.02 印刷操作员
6.08.01.03 印后制作员
6.08.02  记录媒介复制人员
6.08.02.00 音像制品复制员
6.08.99 其他印刷和记录媒介复制人员
6.09 文教、工美、体育和娱乐用品制作人员
6.09.01 文教用品制作人员
6.09.01.01 自来水笔制造工
6.09.01.02 圆珠笔制造工
6.09.01.03 铅笔制造工
6.09.01.04 毛笔制作工
6.09.01.05 记号笔制造工
6.09.01.06 墨制作工
6.09.01.07 墨水墨汁制造工
6.09.01.08 绘图仪器制作工
6.09.01.09 印泥制作工
6.09.02 乐器制作人员
6.09.02.01 钢琴及键盘乐器制作工
6.09.02.02 提琴吉他制作工
6.09.02.03 管乐器制作工
6.09.02.04 民族拉弦弹拨乐器制作工
6.09.02.05 吹奏乐器制作工
6.09.02.06 打击乐器制作工
6.09.02.07 电鸣乐器制作工
6.09.03 工艺美术品制作人员
6.09.03.01 工艺品雕刻工
6.09.03.02 雕塑翻制工
6.09.03.03 陶瓷工艺品制作师
6.09.03.04 景泰蓝制作工
6.09.03.05 金属摆件制作工
6.09.03.06 漆器制作工
6.09.03.07 壁画制作工
6.09.03.08 版画制作工
6.09.03.09 人造花制作工
6.09.03.10 工艺画制作工
6.09.03.11 抽纱刺绣工
6.09.03.12 手工地毯制作工
6.09.03.13 机制地毯制作工
6.09.03.14 宝石琢磨工
6.09.03.15 贵金属首饰制作工
6.09.03.16 装裱师
6.09.03.17 民间工艺品制作工
6.09.03.18 剧装工
6.09.03.19 民间工艺品艺人
6.09.04 体育用品制作人员
6.09.04.01 制球工
6.09.04.02 球拍球网制作工
6.09.04.03 健身器材制作工
6.09.05 玩具制作人员
6.09.05.00 玩具制作工
6.09.99 其他文教、工美、体育和娱乐用品制作人员
6.10 石油加工和炼焦、煤化工生产人员
6.10.01 石油炼制生产人员
6.10.01.01 原油蒸馅工
6.10.01.02 催化裂化工
6.10.01.03 蜡油渣油加氢工
6.10.01.04 渣油热加工工
6.10.01.05 石脑油加工工
6.10.01.06 炼厂气加工工
6.10.01.07 润滑油脂生产工
6.10.01.08 石油产品精制工
6.10.01.09 油制气工
6.10.01.10 油品储运工
6.10.01.11 油母页岩提炼工L
6.10.02 炼焦人员
6.10.02.01 炼焦煤制备工
6.10.02.02 炼焦工
6.10.03   煤化工生产人员
6.10.03.01 煤制烯烃生产工
6.10.03.02 煤制油生产工
6.10.03.03 煤制气工
6.10.03.04 水煤浆制备工
6.10.03.05 工业型煤工
6.10.99 其他石油加工和炼焦、煤化工生产人员
6.11  化学原料和化学制品制造人员
6.11.01 化工产品生产通用工艺人员
6.11.01.01 化工原料准备工
6.11.01.02 化工单元操作工
6.11.01.03 化工总控工
6.11.01.04 制冷工
6.11.01.05 工业清洗工
6.11.01.06 防腐蚀工
6.11.02 基础化学原料制造人员
6.11.02.01 硫酸生产工
6.11.02.02 硝酸生产工
6.11.02.03 盐酸生产工
6.11.02.04 磷酸生产工
6.11.02.05 纯碱生产工
6.11.02.06 烧碱生产工
6.11.02.07 无机盐生产工
6.11.02.08 提硝工
6.11.02.09 卤水综合利用工
6.11.02.10 无机化学反应生产工
6.11.02.11 脂肪烃生产工
6.11.02.12 芳香烃生产工
6.11.02.13 脂肪烃衍生物生产工
6.11.02.14 芳香烃衍生物生产工
6.11.02.15 有机合成工
6.11.03 化学肥料生产人员
6.11.03.01 合成氨生产工
6.11.03.02 尿素生产工
6.11.03.03 硝酸安生产工
6.11.03.04 硫酸按生产工
6.11.03.05 过磷酸钙生产工
6.11.03.06 复混肥生产工
6.11.03.07 钙镁磷肥生产工
6.11.03.08 钾肥生产工
6.11.04 农药生产人员
6.11.04.00 农药生产工
6.11.05 涂料、油墨、颜料及类似产品制造人员
6.11.05.01 涂料生产工
6.11.05.02 油墨制造工
6.11.05.03 颜料生产工
6.11.05.04 染料生产工
6.11.06 合成树脂生产人员
6.11.06.00 合成树脂生产工
6.11.07 合成橡胶生产人员
6.11.07.00 合成橡胶生产工
6.11.08 专用化学产品生产人员
6.11.08.01 催化剂生产工
6.11.08.02 总溶剂生产工
6.11.08.03 化学试剂生产工
6.11.08.04 印染助剂生产工
6.11.08.05 表面活性剂制造工
6.11.08.06 化工添加剂生产工
6.11.08.07 油脂化工产品制造工
6.11.08.08 动物胶制造工
6.11.08.09 人造板制胶工
6.11.08.10 有机硅生产工
6.11.08.11 有机氟生产工
6.11.08.12 松香工
6.11.08.13 松节油制品工
6.11.08.14 活性炭生产工
6.11.08.15 栲胶生产工
6.11.08.16 紫胶生产工
6.11.08.17 栓皮制品工
6.11.08.18 植物原料水解工
6.11.08.19 感光材料生产工
6.11.08.20 胶印版材生产工
6.11.08.21 柔性版材生产工
6.11.08.22 磁记录材料生产工
6.11.08.23 热转移防护膜涂布工
6.11.08.24 平板显示膜生产工
6.11.08.25 甘油制造工
6.11.08.26 生物质化工产品生产工L
6.11.09 火工品制造、保管、爆破及焰火产品制造人员
6.11.09.01 雷管制造工
6.11.09.02 索状爆破器材制造工
6.11.09.03 火工品装配工
6.11.09.04 火工品管理工
6.11.09.05 烟花爆竹工
6.11.10 日用化学品生产人员
6.11.10.01 合成洗涤剂制造工
6.11.10.02 肥皂制造工
6.11.10.03 化妆品配方师
6.11.10.04 化妆品制造工
6.11.10.05 口腔清洁剂制造工
6.11.10.06 香料制造工
6.11.10.07 调香师
6.11.10.08 香精配制工
6.11.10.09 火柴制造工
6.11.99 其他化学原料和化学制品制造人员
6.12 医药制造人员
6.12.01 化学药品原料药制造人员
6.12.01.00 化学合成制药工
6.12.02 中药饮片加工人员
6.12.02.00 中药炮制工
6.12.03 药物制剂人员
6.12.03.00 药物制剂工
6.12.04 兽用药品制造人员
6.12.04.00 兽药制造工
6.12.05 生物药品制造人员
6.12.05.01 生化药品制造工
6.12.05.02 发酵工程制药工
6.12.05.03 疫苗制品工
6.12.05.04 血液制品工
6.12.05.05 基因工程药品生产工
6.12.99 其他医药制造人员
6.13 化学纤维原料制造人员
6.13.01 化学纤维原料制造人员
6.13.01.01 化纤聚合工
6.13.01.02 纺丝原液制造工
6.13.02 化学纤维纺丝及后处理人员
6.13.02.01 纺丝工
6.13.02.02 化纤后处理工
6.13.99 其他化学纤维制造人员
6.14   橡胶和塑料制品制造人员
6.14.01  橡胶制品生产人员
6.14.01.01 橡胶制品生产工
6.14.01.02 轮胎翻修工L
6.14.02 塑料制品加工人员
6.14.02.00 塑料制品成型制作工
6.14.99 其他橡胶和塑料制品制造人员
6.15 非金属矿物制品制造人员
6.15.01 水泥、石灰、石膏及其制品制造人员
6.15.01.01 水泥生产工
6.15.01.02 水泥混凝土制品工
6.15.01.03 石灰锻烧工
6.15.01.04 石膏粉生产工
6.15.01.05 石膏制品生产工
6.15.01.06 预拌混凝土生产工
6.15.02 砖瓦石材等建筑材料制造人员
6.15.02.01 砖瓦生产工
6.15.02.02 加气混凝土制品工
6.15.02.03 石材生产工
6.15.02.04 人造石生产加工工
6.15.02.05 防水卷材制造工
6.15.02.06 保温材料制造工
6.15.02.07 吸音材料制造工
6.15.02.08 砂石骨料生产工
6.15.03 玻璃及玻璃制品生产加工人员
6.15.03.01 玻璃配料溶化工
6.15.03.02 玻璃及玻璃制品成型工
6.15.03.03 玻璃加工工
6.15.03.04 玻璃制品加工工
6.15.03.05 电子玻璃制品加工工
6.15.03.06 石英玻璃制品加工工
6.15.04  玻璃纤维及玻璃纤维增强塑料制品制造人员
6.15.04.01 玻璃纤维及制品工
6.15.04.02 玻璃钢制品工
6.15.05 陶瓷制品制造人员
6.15.05.01 陶瓷原料准备工
6.15.05.02 陶瓷成型施釉工
6.15.05.03 陶瓷烧成工
6.15.05.04 陶瓷装饰工
6.15.05.05 古建琉璃工
6.15.06 耐火材料制品生产人员
6.15.06.01 耐火原料加工成型工
6.15.06.02 耐火材料烧成工
6.15.06.03 耐火制品加工工
6.15.06.04 耐火纤维制品工
6.15.07  石墨及炭素制品生产人员
6.15.07.01 炭素煅烧工
6.15.07.02 炭素成型工
6.15.07.03 炭素焙烧工
6.15.07.04 炭素浸渍工
6.15.07.05 石墨化工
6.15.07.06 炭素制品工
6.15.07.07 炭素特种材料工
6.15.08 高岭土、珍珠岩等非金属矿物加工人员
6.15.08.01 人工合成晶体工
6.15.08.02 高岭土加工工
6.15.08.03 珍珠岩加工工
6.15.08.04 石棉制品工
6.15.08.05 云母制品工
6.15.99 其他非金属矿物制品制造人员
6.16 采矿人员
6.16.01 矿物采选人员
6.16.01.01 露天采矿工
6.16.01.02 露天矿物开采辅助工
6.16.01.03 运矿排土工
6.16.01.04 矿井开掘工
6.16.01.05 井下采矿工
6.16.01.06 井下支护工
6.16.01.07 井下机车运输工
6.16.01.08 矿山提升设备操作工
6.16.01.09 矿井通风工
6.16.01.10 矿山安全防护工
6.16.01.11 矿山安全设备监测检修工
6.16.01.12 矿山救护工
6.16.01.13 矿山生产集控员
6.16.01.14 矿石处理工
6.16.01.15 选矿工
6.16.01.16 选矿脱水工
6.16.01.17 尾矿工
6.16.02 石油和天然气开采与储运人员
6.16.02.01 石油勘探工
6.16.02.02 钻井工
6.16.02.03 钻井协作工
6.16.02.04 井下作业设备操作维修工
6.16.02.05 水下钻井设备操作工
6.16.02.06 油气水井测试工
6.16.02.07 石油开采工
6.16.02.08 天然气开采工
6.16.02.09 煤层气排采集输工
6.16.02.10 天然气处理工
6.16.02.11 油气输送工
6.16.02.12 油气管道维护工
6.16.02.13 海上平台水手
6.16.03 采盐人员
6.16.03.01 海盐制盐工
6.16.03.02 湖盐制盐工
6.16.03.03 井矿盐制盐工
6.16.99 其他采矿人员
6.17 金属冶炼和压延加工人员
6.17.01  炼铁人员
6.17.01.01 烧结球团原料工
6.17.01.02 粉矿烧结工
6.17.01.03 球团焙烧工
6.17.01.04 烧结成品工
6.17.01.05 高炉原料工
6.17.01.06 高炉炼铁工
6.17.01.07 高炉运转工
6.17.02 炼钢人员
6.17.02.01 炼钢原料工
6.17.02.02 炼钢工
6.17.02.03 炼钢浇铸工
6.17.02.04 炼钢准备工
6.17.02.05 整模脱模工
6.17.03 铸铁管人员
6.17.03.01 铸管备品工
6.17.03.02 铸管工
6.17.03.03 铸管精整工
6.17.04 铁合金治炼人员
6.17.04.01 铁合金原料工
6.17.04.02 铁合金火法冶炼工
6.17.04.03 铁合金焙烧工
6.17.04.04 铁合金湿法冶炼工
6.17.04.05 钒氨合金工
6.17.05 重有色金属冶炼人员
6.17.05.01 重冶备料工
6.17.05.02 重金属物料焙烧工
6.17.05.03 重治火法治炼工
6.17.05.04 重治湿法冶炼工
6.17.05.05 电解精炼工
6.17.06 轻有色金属冶炼人员
6.17.06.01 氧化铝制取工
6.17.06.02 铝电解工
6.17.06.03 镁冶炼工
6.17.06.04 硅冶炼工
6.17.07 稀贵金属冶炼人员
6.17.07.01 钨钼冶炼工
6.17.07.02 锂锯治炼工
6.17.07.03 钛冶炼工
6.17.07.04 稀土冶炼工
6.17.07.05 稀土材料生产工
6.17.07.06 贵金属治炼工
6.17.07.07 锂冶炼工
6.17.08 半导体材料制备人员
6.17.08.01 半导体辅料制备工
6.17.08.02 多晶硅制取工
6.17.09 金属轧制人员
6.17.09.01 轧制原料工
6.17.09.02 金属轧制工
6.17.09.03 金属材酸碱洗工
6.17.09.04 金属材涂层机组操作工
6.17.09.05 金属材热处理工
6.17.09.06 焊管机组操作工
6.17.09.07 金属材精整工
6.17.09.08 金属材丝拉拔工
6.17.09.09 金属挤压工
6.17.09.10 铸轧工
6.17.09.11 钢丝绳制造工
6.17.10 硬质合金生产人员
6.17.10.01 硬质合金混合料工
6.17.10.02 硬质合金成型工
6.17.10.03 硬质合金烧结工
6.17.10.04 硬质合金精加工工
6.17.99 其他金属冶炼和压延加工人员
6.18 机械制造基础加工人员
6.18.01 机械冷加工人员
6.18.01.01 车工
6.18.01.02 铣工
6.18.01.03 刨插工
6.18.01.04 磨工
6.18.01.05 镗工
6.18.01.06 钻床工
6.18.01.07 多工序数控机床操作调整工
6.18.01.08 电切削工
6.18.01.09 拉床工
6.18.01.10 下料工
6.18.01.11 铆工
6.18.01.12 冲压工
6.18.02 机械热加工人员
6.18.02.01 铸造工
6.18.02.02 锻造工
6.18.02.03 金属热处理工
6.18.02.04 焊工
6.18.02.05 机械加工材料切割工
6.18.02.06 粉未冶金制品制造工
6.18.03 机械表面处理加工人员
6.18.03.01 镀层工
6.18.03.02 镀膜工
6.18.03.03 涂装工
6.18.03.04 喷涂喷焊工
6.18.04 工装工具制造加工人员
6.18.04.01 模具工
6.18.04.02 模型制作工
6.18.04.03 磨料制造工
6.18.04.04 磨具制造工
6.18.04.05 量具和刃具制造工
6.18.04.06 工具钳工
6.18.99 其他机械制造基础加工人员
6.19 金属制品制造人员
6.19.01 五金制品制作装配人员
6.19.01.01 工具五金制作工
6.19.01.02 建筑五金制品制作工
6.19.01.03 锁具制作工
6.19.01.04 金属炊具及器血制作工
6.19.01.05 日用五金制品制作工
6.19.01.06 搪瓷制品制造工
6.19.99 其他金属制品制造人员
6.20 通用设备制造人员
6.20.01 通用基础件装配制造人员
