好的结果：382
幼儿语言教育 -- 中国语言文学类(编码：05.01，可信度:61.5%);历史学类(编码：06.01，可信度:49.23%);教育学(编码：04，可信度:48.83%)
政治学原理 -- 政治学类(编码：03.02，可信度:68.47%);哲学类(编码：01.01，可信度:46.09%);马克思主义理论类(编码：03.05，可信度:44.82%)
学校心理健康教育 -- 教育学(编码：04，可信度:53.98%);旅游管理类(编码：12.09，可信度:46.14%);农学(编码：09，可信度:45.97%)
中国传统文化 -- 中国语言文学类(编码：05.01，可信度:72.42%);民族学类(编码：03.04，可信度:60.59%);体育学类(编码：04.02，可信度:52.38%)
国际金融 -- 金融学类(编码：02.03，可信度:70.01%);农业经济管理类(编码：12.03，可信度:44.05%);物流管理与工程类(编码：12.06，可信度:33.14%)
世界经济 -- 经济学(编码：02，可信度:75.76%);政治学类(编码：03.02，可信度:40.05%);农业经济管理类(编码：12.03，可信度:38.47%)
毛泽东思想和中国特色社会主义理论体系概论 -- 马克思主义理论类(编码：03.05，可信度:56.44%);外国语言文学类(编码：05.02，可信度:31.31%);民族学类(编码：03.04，可信度:25.02%)
社会保障学 -- 公共管理类(编码：12.04，可信度:70.15%);财政学类(编码：02.02，可信度:40.79%);法学类(编码：03.01，可信度:40.08%)
合同法 -- 统计学类(编码：07.12，可信度:59.86%);经济学类(编码：02.01，可信度:48.49%);法学(编码：03，可信度:46.75%)
小学德育理论 -- 力学类(编码：08.01，可信度:62.95%);马克思主义理论类(编码：03.05，可信度:61.82%);艺术学理论类(编码：13.01，可信度:61.2%)
语用与交际 -- 护理学类(编码：10.11，可信度:53.65%);外国语言文学类(编码：05.02，可信度:48.67%);林学类(编码：09.05，可信度:41.28%)
心理学 -- 心理学类(编码：07.11，可信度:100.0%);旅游管理类(编码：12.09，可信度:30.42%);社会学类(编码：03.03，可信度:30.36%)
体育测量与评价 -- 体育学类(编码：04.02，可信度:63.35%);工商管理类(编码：12.02，可信度:46.88%);心理学类(编码：07.11，可信度:31.27%)
国际贸易理论与实务 -- 力学类(编码：08.01，可信度:64.18%);音乐与舞蹈学类(编码：13.02，可信度:60.32%);马克思主义理论类(编码：03.05，可信度:59.28%)
马克思主义政治经济学 -- 马克思主义理论类(编码：03.05，可信度:64.38%);政治学类(编码：03.02，可信度:42.09%);哲学(编码：01，可信度:34.0%)
质量管理与可靠性 -- 航空航天类(编码：08.20，可信度:67.86%);工业工程类(编码：12.07，可信度:60.24%);经济学类(编码：02.01，可信度:45.05%)
土地利用与规划 -- 中药学类(编码：10.08，可信度:46.99%);外国语言文学类(编码：05.02，可信度:41.38%);护理学类(编码：10.11，可信度:40.02%)
刑法 -- 护理学类(编码：10.11，可信度:47.91%);外国语言文学类(编码：05.02，可信度:45.35%);林学类(编码：09.05，可信度:33.71%)
民法总论 -- 护理学类(编码：10.11，可信度:45.49%);外国语言文学类(编码：05.02，可信度:43.85%);林学类(编码：09.05，可信度:39.44%)
政治经济学 -- 哲学(编码：01，可信度:55.66%);哲学类(编码：01.01，可信度:32.45%);政治学类(编码：03.02，可信度:30.57%)
西方经济学(下) -- 经济学(编码：02，可信度:100.0%);经济学类(编码：02.01，可信度:51.77%);金融学类(编码：02.03，可信度:40.45%)
体育管理学 -- 管理学(编码：12，可信度:55.95%);工商管理类(编码：12.02，可信度:44.1%);体育学类(编码：04.02，可信度:42.45%)
旅游管理学 -- 管理学(编码：12，可信度:67.42%);旅游管理类(编码：12.09，可信度:61.31%);工商管理类(编码：12.02，可信度:36.48%)
教师教育 -- 教育学(编码：04，可信度:94.01%);马克思主义理论类(编码：03.05，可信度:52.31%);音乐与舞蹈学类(编码：13.02，可信度:48.49%)
公务员依法行政 -- 外国语言文学类(编码：05.02，可信度:51.41%);护理学类(编码：10.11，可信度:46.49%);财政学类(编码：02.02，可信度:44.33%)
组织理论 -- 艺术学理论类(编码：13.01，可信度:51.06%);马克思主义理论类(编码：03.05，可信度:41.86%);力学类(编码：08.01，可信度:41.79%)
民事诉讼法 -- 外国语言文学类(编码：05.02，可信度:59.72%);护理学类(编码：10.11，可信度:50.53%);林学类(编码：09.05，可信度:44.7%)
社会保障法 -- 公共管理类(编码：12.04，可信度:69.32%);法学(编码：03，可信度:66.72%);法学类(编码：03.01，可信度:63.1%)
成本管理会计 -- 工商管理类(编码：12.02，可信度:58.79%);管理学(编码：12，可信度:56.15%);物流管理与工程类(编码：12.06，可信度:43.59%)
高级会计学(新) -- 工商管理类(编码：12.02，可信度:62.43%);旅游管理类(编码：12.09，可信度:25.36%);电子商务类(编码：12.08，可信度:23.91%)
建筑项目质量 -- 农业工程类(编码：08.23，可信度:58.27%);建筑类(编码：08.28，可信度:55.0%);航空航天类(编码：08.20，可信度:52.32%)
西方心理学流派 -- 心理学类(编码：07.11，可信度:92.42%);社会学类(编码：03.03，可信度:38.15%);艺术学理论类(编码：13.01，可信度:27.0%)
安全生产法及安全标准 -- 法学类(编码：03.01，可信度:60.4%);电子商务类(编码：12.08，可信度:57.42%);法学(编码：03，可信度:55.41%)
市场营销 -- 工商管理类(编码：12.02，可信度:73.4%);政治学类(编码：03.02，可信度:27.83%);经济学类(编码：02.01，可信度:26.29%)
国际贸易与国际金融 -- 金融学类(编码：02.03，可信度:83.93%);物流管理与工程类(编码：12.06，可信度:38.77%);经济学(编码：02，可信度:38.35%)
国际法 -- 法学(编码：03，可信度:100.0%);法学类(编码：03.01，可信度:68.1%);电子商务类(编码：12.08，可信度:60.98%)
毛泽东思想、邓小平理论和‘三个代表’重要思想概论 -- 马克思主义理论类(编码：03.05，可信度:62.55%);生物工程类(编码：08.30，可信度:31.32%);外国语言文学类(编码：05.02，可信度:29.0%)
小学教育管理 -- 哲学(编码：01，可信度:52.75%);哲学类(编码：01.01，可信度:35.61%);护理学类(编码：10.11，可信度:29.14%)
知识产权法学 -- 法学类(编码：03.01，可信度:95.23%);电子商务类(编码：12.08，可信度:80.95%);法学(编码：03，可信度:76.85%)
旅游规划与开发 -- 管理科学与工程类(编码：12.01，可信度:67.27%);中药学类(编码：10.08，可信度:53.36%);旅游管理类(编码：12.09，可信度:52.6%)
心理测量学 -- 心理学类(编码：07.11，可信度:71.06%);社会学类(编码：03.03，可信度:37.37%);体育学类(编码：04.02，可信度:34.11%)
土地政策与土地法学 -- 农业工程类(编码：08.23，可信度:63.98%);公共管理类(编码：12.04，可信度:42.63%);自然保护与环境生态类(编码：09.02，可信度:28.91%)
人文地理学 -- 地理科学类(编码：07.05，可信度:66.38%);建筑类(编码：08.28，可信度:50.01%);海洋科学类(编码：07.07，可信度:46.78%)
合同法学 -- 统计学类(编码：07.12，可信度:59.86%);经济学类(编码：02.01，可信度:48.49%);法学(编码：03，可信度:46.75%)
海洋地理学 -- 地理科学类(编码：07.05，可信度:72.17%);测绘类(编码：08.12，可信度:65.22%);海洋科学类(编码：07.07，可信度:63.23%)
发展心理学 -- 心理学类(编码：07.11，可信度:75.2%);农业经济管理类(编码：12.03，可信度:46.14%);旅游管理类(编码：12.09，可信度:28.77%)
律师学 -- 外国语言文学类(编码：05.02，可信度:50.71%);财政学类(编码：02.02，可信度:50.66%);护理学类(编码：10.11，可信度:43.17%)
公共部门人力资源管理 -- 物流管理与工程类(编码：12.06，可信度:58.09%);农业经济管理类(编码：12.03，可信度:55.51%);管理学(编码：12，可信度:55.2%)
管理心理学 -- 管理学(编码：12，可信度:69.26%);心理学类(编码：07.11，可信度:61.56%);艺术学理论类(编码：13.01，可信度:46.36%)
前厅客房服务与管理 -- 旅游管理类(编码：12.09，可信度:78.21%);物流管理与工程类(编码：12.06，可信度:37.0%);公共管理类(编码：12.04，可信度:36.61%)
商务应用文写作 -- 工商管理类(编码：12.02，可信度:75.31%);统计学类(编码：07.12，可信度:64.77%);经济学类(编码：02.01，可信度:64.68%)
货币银行学 -- 外国语言文学类(编码：05.02，可信度:54.82%);护理学类(编码：10.11，可信度:39.48%);林学类(编码：09.05，可信度:38.63%)
城市轨道交通客运服务规范 -- 旅游管理类(编码：12.09，可信度:57.13%);交通运输类(编码：08.18，可信度:40.62%);公共管理类(编码：12.04，可信度:34.25%)
幼儿教育心理学 -- 心理学类(编码：07.11，可信度:74.32%);社会学类(编码：03.03，可信度:28.47%);体育学类(编码：04.02，可信度:26.5%)
经济法律通论 -- 电子商务类(编码：12.08，可信度:69.74%);法学类(编码：03.01，可信度:60.61%);经济学(编码：02，可信度:52.79%)
教育学 -- 教育学(编码：04，可信度:100.0%);马克思主义理论类(编码：03.05，可信度:46.7%);教育学类(编码：04.01，可信度:42.51%)
餐饮服务与管理 -- 旅游管理类(编码：12.09，可信度:79.83%);物流管理与工程类(编码：12.06，可信度:39.75%);公共管理类(编码：12.04，可信度:39.15%)
学前儿童发展心理学 -- 心理学类(编码：07.11，可信度:66.4%);教育学类(编码：04.01，可信度:42.22%);数学类(编码：07.01，可信度:37.79%)
基层领导方法与艺术 -- 艺术学(编码：13，可信度:71.32%);艺术学理论类(编码：13.01，可信度:70.37%);设计学类(编码：13.05，可信度:50.83%)
社会调查与研究方法A -- 社会学类(编码：03.03，可信度:64.19%);音乐与舞蹈学类(编码：13.02，可信度:38.67%);心理学类(编码：07.11，可信度:37.77%)
社会调查与研究方法B -- 社会学类(编码：03.03，可信度:64.19%);音乐与舞蹈学类(编码：13.02，可信度:38.67%);心理学类(编码：07.11，可信度:37.77%)
物流管理 -- 物流管理与工程类(编码：12.06，可信度:75.26%);管理学(编码：12，可信度:74.74%);工业工程类(编码：12.07，可信度:38.92%)
仓储管理 -- 管理学(编码：12，可信度:88.18%);物流管理与工程类(编码：12.06，可信度:60.98%);旅游管理类(编码：12.09，可信度:39.73%)
职业健康管理体系 -- 公共卫生与预防医学类(编码：10.04，可信度:50.69%);公共管理类(编码：12.04，可信度:34.98%);哲学类(编码：01.01，可信度:29.41%)
德育论 -- 马克思主义理论类(编码：03.05，可信度:53.96%);音乐与舞蹈学类(编码：13.02，可信度:45.76%);力学类(编码：08.01，可信度:41.73%)
婚姻家庭与继承法 -- 财政学类(编码：02.02，可信度:73.83%);护理学类(编码：10.11，可信度:63.74%);外国语言文学类(编码：05.02，可信度:58.61%)
行政领导学 -- 政治学类(编码：03.02，可信度:54.9%);哲学类(编码：01.01，可信度:46.44%);公共管理类(编码：12.04，可信度:43.12%)
中国历史地理 -- 历史学(编码：06，可信度:78.98%);建筑类(编码：08.28，可信度:74.6%);测绘类(编码：08.12，可信度:71.27%)
管理沟通 -- 管理学(编码：12，可信度:91.74%);物流管理与工程类(编码：12.06，可信度:59.1%);旅游管理类(编码：12.09，可信度:37.17%)
电子商务项目管理 -- 管理学(编码：12，可信度:81.19%);物流管理与工程类(编码：12.06，可信度:51.5%);法学类(编码：03.01，可信度:42.79%)
人力资源管理 -- 管理学(编码：12，可信度:70.13%);物流管理与工程类(编码：12.06，可信度:59.82%);农业经济管理类(编码：12.03，可信度:48.5%)
学前教育评价 -- 教育学类(编码：04.01，可信度:66.88%);教育学(编码：04，可信度:66.18%);音乐与舞蹈学类(编码：13.02，可信度:52.59%)
财务管理学 -- 农学(编码：09，可信度:45.23%);纺织类(编码：08.16，可信度:24.98%);艺术学(编码：13，可信度:24.72%)
高级财务管理 -- 工商管理类(编码：12.02，可信度:50.23%);农学(编码：09，可信度:32.15%);社会学类(编码：03.03，可信度:28.61%)
技术经济学 -- 仪器类(编码：08.03，可信度:53.42%);地球物理学类(编码：07.08，可信度:50.31%);海洋科学类(编码：07.07，可信度:43.58%)
普通心理学 -- 心理学类(编码：07.11，可信度:100.0%);旅游管理类(编码：12.09，可信度:30.42%);社会学类(编码：03.03，可信度:30.36%)
物流自动化 -- 农业工程类(编码：08.23，可信度:54.33%);自动化类(编码：08.08，可信度:49.85%);物流管理与工程类(编码：12.06，可信度:31.84%)
民法与婚姻法 -- 外国语言文学类(编码：05.02，可信度:52.13%);护理学类(编码：10.11，可信度:50.93%);林学类(编码：09.05，可信度:40.84%)
经济地理学 -- 地理科学类(编码：07.05，可信度:66.15%);经济学(编码：02，可信度:65.09%);测绘类(编码：08.12，可信度:63.39%)
社会保障制度 -- 公共管理类(编码：12.04，可信度:76.67%);财政学类(编码：02.02，可信度:43.13%);法学(编码：03，可信度:40.05%)
会计电算化A -- 工商管理类(编码：12.02，可信度:59.41%);旅游管理类(编码：12.09，可信度:26.93%);电子商务类(编码：12.08，可信度:25.9%)
教育社会学 -- 教育学(编码：04，可信度:77.15%);马克思主义理论类(编码：03.05，可信度:49.94%);音乐与舞蹈学类(编码：13.02，可信度:49.02%)
行政伦理学 -- 哲学类(编码：01.01，可信度:77.48%);政治学类(编码：03.02，可信度:67.07%);公共管理类(编码：12.04，可信度:46.41%)
教育技术学研究方法 -- 教育学(编码：04，可信度:63.77%);教育学类(编码：04.01，可信度:63.54%);地球物理学类(编码：07.08，可信度:62.37%)
经济学原理(专科) -- 经济学(编码：02，可信度:62.12%);政治学类(编码：03.02，可信度:60.91%);农业经济管理类(编码：12.03，可信度:55.73%)
现代安全管理 -- 管理学(编码：12，可信度:100.0%);物流管理与工程类(编码：12.06，可信度:47.33%);经济学类(编码：02.01，可信度:33.11%)
社会学原理 -- 社会学类(编码：03.03，可信度:52.38%);旅游管理类(编码：12.09，可信度:39.45%);心理学类(编码：07.11，可信度:37.93%)
会计学 -- 工商管理类(编码：12.02，可信度:51.65%);电子商务类(编码：12.08，可信度:30.29%);经济学(编码：02，可信度:28.98%)
社会工作导论 -- 社会学类(编码：03.03，可信度:93.54%);外国语言文学类(编码：05.02，可信度:40.7%);林学类(编码：09.05，可信度:32.36%)
法律逻辑学 -- 电子商务类(编码：12.08，可信度:83.06%);法学类(编码：03.01，可信度:73.05%);哲学类(编码：01.01，可信度:63.29%)
银行会计学 -- 工商管理类(编码：12.02，可信度:59.19%);电子商务类(编码：12.08，可信度:33.62%);外国语言文学类(编码：05.02，可信度:27.87%)
马克思主义基本原理概论 -- 马克思主义理论类(编码：03.05，可信度:75.41%);政治学类(编码：03.02，可信度:34.1%);哲学类(编码：01.01，可信度:29.25%)
安全信息管理 -- 地理科学类(编码：07.05，可信度:58.33%);生物科学类(编码：07.10，可信度:57.9%);地质学类(编码：07.09，可信度:54.43%)
教育原理 -- 教育学(编码：04，可信度:74.95%);马克思主义理论类(编码：03.05，可信度:40.12%);旅游管理类(编码：12.09，可信度:31.79%)
国际技术贸易 -- 仪器类(编码：08.03，可信度:62.63%);地球物理学类(编码：07.08，可信度:57.53%);水产类(编码：09.06，可信度:51.48%)
民事诉讼法学 -- 外国语言文学类(编码：05.02，可信度:59.72%);护理学类(编码：10.11，可信度:50.53%);林学类(编码：09.05，可信度:44.7%)
学前卫生学 -- 教育学类(编码：04.01，可信度:61.32%);公共卫生与预防医学类(编码：10.04，可信度:54.62%);医学技术类(编码：10.10，可信度:50.52%)
财政税收法 -- 财政学类(编码：02.02，可信度:87.09%);法学类(编码：03.01，可信度:70.59%);法学(编码：03，可信度:69.69%)
幼儿教育管理学 -- 管理学(编码：12，可信度:68.94%);物流管理与工程类(编码：12.06，可信度:42.37%);工业工程类(编码：12.07，可信度:35.59%)
小学生心理健康教育 -- 教育学(编码：04，可信度:58.82%);农学(编码：09，可信度:49.86%);音乐与舞蹈学类(编码：13.02，可信度:44.5%)
员工招聘 -- 外国语言文学类(编码：05.02，可信度:55.09%);护理学类(编码：10.11，可信度:54.06%);林学类(编码：09.05，可信度:41.72%)
地理教育学 -- 教育学(编码：04，可信度:68.24%);测绘类(编码：08.12，可信度:67.03%);地理科学类(编码：07.05，可信度:63.08%)
中国当代文学 -- 文学(编码：05，可信度:79.12%);中国语言文学类(编码：05.01，可信度:45.42%);戏剧与影视学类(编码：13.03，可信度:36.44%)
电子商务概论 -- 电子商务类(编码：12.08，可信度:62.0%);法学(编码：03，可信度:56.37%);法学类(编码：03.01，可信度:52.81%)
财务报表分析 -- 药学类(编码：10.07，可信度:72.17%);林学类(编码：09.05，可信度:28.21%);心理学类(编码：07.11，可信度:27.98%)
应用文写作 -- 统计学类(编码：07.12，可信度:50.63%);外国语言文学类(编码：05.02，可信度:36.59%);经济学类(编码：02.01，可信度:34.58%)
学前儿童艺术欣赏 -- 教育学类(编码：04.01，可信度:60.02%);数学类(编码：07.01，可信度:51.42%);心理学类(编码：07.11，可信度:44.21%)
饭店经营管理 -- 管理学(编码：12，可信度:51.18%);旅游管理类(编码：12.09，可信度:46.49%);物流管理与工程类(编码：12.06，可信度:45.96%)
文学文本解读 -- 文学(编码：05，可信度:68.3%);中国语言文学类(编码：05.01，可信度:53.09%);戏剧与影视学类(编码：13.03，可信度:49.69%)
大学语文 -- 管理科学与工程类(编码：12.01，可信度:80.95%);计算机类(编码：08.09，可信度:26.1%);自动化类(编码：08.08，可信度:25.94%)
房地产开发与经营 -- 管理科学与工程类(编码：12.01，可信度:88.52%);中药学类(编码：10.08，可信度:44.58%);物流管理与工程类(编码：12.06，可信度:40.5%)
财务管理B -- 农学(编码：09，可信度:45.23%);纺织类(编码：08.16，可信度:24.98%);艺术学(编码：13，可信度:24.72%)
财务管理A -- 农学(编码：09，可信度:45.23%);纺织类(编码：08.16，可信度:24.98%);艺术学(编码：13，可信度:24.72%)
外国文学(1) -- 文学(编码：05，可信度:100.0%);戏剧与影视学类(编码：13.03，可信度:31.18%);中国语言文学类(编码：05.01，可信度:30.2%)
发展与教育心理学 -- 心理学类(编码：07.11，可信度:61.53%);教育学(编码：04，可信度:50.69%);马克思主义理论类(编码：03.05，可信度:35.35%)
社区管理 -- 管理学(编码：12，可信度:91.98%);物流管理与工程类(编码：12.06，可信度:59.52%);工业工程类(编码：12.07，可信度:37.11%)
秘书学 -- 中国语言文学类(编码：05.01，可信度:93.23%);历史学类(编码：06.01，可信度:21.28%);外国语言文学类(编码：05.02，可信度:17.23%)
司法文书 -- 外国语言文学类(编码：05.02，可信度:54.12%);护理学类(编码：10.11，可信度:51.39%);林学类(编码：09.05，可信度:36.97%)
建筑艺术赏析 -- 艺术学(编码：13，可信度:64.43%);艺术学理论类(编码：13.01，可信度:58.9%);建筑类(编码：08.28，可信度:49.3%)
教育行政学 -- 教育学(编码：04，可信度:69.3%);马克思主义理论类(编码：03.05，可信度:36.39%);哲学类(编码：01.01，可信度:30.92%)
儿童保育学 -- 教育学类(编码：04.01，可信度:49.35%);数学类(编码：07.01，可信度:43.83%);心理学类(编码：07.11，可信度:37.53%)
社会研究方法 -- 社会学类(编码：03.03，可信度:52.6%);体育学类(编码：04.02，可信度:45.46%);民族学类(编码：03.04，可信度:38.35%)
比较文学 -- 文学(编码：05，可信度:100.0%);戏剧与影视学类(编码：13.03，可信度:31.18%);中国语言文学类(编码：05.01，可信度:30.2%)
小学语文教育 -- 教育学(编码：04，可信度:85.24%);马克思主义理论类(编码：03.05，可信度:49.05%);音乐与舞蹈学类(编码：13.02，可信度:48.79%)
西方经济学(上) -- 经济学(编码：02，可信度:100.0%);经济学类(编码：02.01，可信度:51.77%);金融学类(编码：02.03，可信度:40.45%)
劳动与社会保障法 -- 公共管理类(编码：12.04，可信度:75.27%);法学类(编码：03.01，可信度:49.78%);工商管理类(编码：12.02，可信度:46.59%)
教育科学研究方法 -- 教育学类(编码：04.01，可信度:50.05%);心理学类(编码：07.11，可信度:33.89%);社会学类(编码：03.03，可信度:31.28%)
小企业管理 -- 管理学(编码：12，可信度:92.08%);物流管理与工程类(编码：12.06，可信度:59.17%);工业工程类(编码：12.07，可信度:37.18%)
ERP与企业电子商务管理 -- 管理学(编码：12，可信度:57.61%);物流管理与工程类(编码：12.06，可信度:49.62%);电子商务类(编码：12.08，可信度:47.21%)
经济数学基础 -- 数学类(编码：07.01，可信度:67.67%);金融学类(编码：02.03，可信度:65.38%);基础医学类(编码：10.01，可信度:41.82%)
政治经济学原理原著 -- 政治学类(编码：03.02，可信度:51.92%);哲学类(编码：01.01，可信度:48.27%);哲学(编码：01，可信度:41.64%)
经济法(新) -- 工商管理类(编码：12.02，可信度:49.21%);外国语言文学类(编码：05.02，可信度:26.96%);护理学类(编码：10.11，可信度:26.73%)
学前儿童社会教育基础 -- 数学类(编码：07.01，可信度:57.87%);教育学类(编码：04.01，可信度:57.3%);基础医学类(编码：10.01，可信度:46.01%)
电算化会计与审计 -- 工商管理类(编码：12.02，可信度:69.66%);管理科学与工程类(编码：12.01，可信度:38.24%);旅游管理类(编码：12.09，可信度:27.93%)
管理学原理 -- 管理学(编码：12，可信度:69.38%);旅游管理类(编码：12.09，可信度:39.41%);农业经济管理类(编码：12.03，可信度:38.02%)
社会工作方法 -- 社会学类(编码：03.03，可信度:93.54%);外国语言文学类(编码：05.02，可信度:40.7%);林学类(编码：09.05，可信度:32.36%)
学前儿童语言教育基础 -- 教育学类(编码：04.01，可信度:65.42%);数学类(编码：07.01，可信度:55.58%);音乐与舞蹈学类(编码：13.02，可信度:49.35%)
文学概论 -- 文学(编码：05，可信度:100.0%);戏剧与影视学类(编码：13.03，可信度:31.18%);中国语言文学类(编码：05.01，可信度:30.2%)
财务管理 -- 农学(编码：09，可信度:45.23%);纺织类(编码：08.16，可信度:24.98%);艺术学(编码：13，可信度:24.72%)
世界政治经济与国际关系 -- 政治学类(编码：03.02，可信度:72.58%);哲学(编码：01，可信度:39.38%);工商管理类(编码：12.02，可信度:36.2%)
教学媒体理论与实践 -- 计算机类(编码：08.09，可信度:49.82%);力学类(编码：08.01，可信度:49.62%);音乐与舞蹈学类(编码：13.02，可信度:48.9%)
体育教育学 -- 教育学(编码：04，可信度:60.49%);体育学类(编码：04.02，可信度:48.58%);教育学类(编码：04.01，可信度:38.8%)
投资银行经营与管理 -- 物流管理与工程类(编码：12.06，可信度:55.81%);管理学(编码：12，可信度:53.93%);管理科学与工程类(编码：12.01，可信度:43.89%)
企业发展战略 -- 农业经济管理类(编码：12.03，可信度:62.21%);心理学类(编码：07.11，可信度:50.41%);电子商务类(编码：12.08，可信度:48.61%)
不动产评估 -- 工商管理类(编码：12.02，可信度:68.35%);经济学类(编码：02.01，可信度:31.04%);统计学类(编码：07.12，可信度:30.94%)
财务案例分析 -- 药学类(编码：10.07，可信度:55.8%);林学类(编码：09.05，可信度:31.45%);外国语言文学类(编码：05.02，可信度:29.6%)
教育管理原理 -- 政治学类(编码：03.02，可信度:47.78%);哲学类(编码：01.01，可信度:41.33%);旅游管理类(编码：12.09，可信度:30.53%)
市场调查与预测 -- 社会学类(编码：03.03，可信度:46.2%);外国语言文学类(编码：05.02，可信度:40.79%);护理学类(编码：10.11，可信度:30.71%)
现代科技与当代社会 -- 社会学类(编码：03.03，可信度:78.01%);体育学类(编码：04.02，可信度:37.14%);心理学类(编码：07.11，可信度:33.96%)
工程造价(建筑方向) -- 农业工程类(编码：08.23，可信度:45.66%);管理科学与工程类(编码：12.01，可信度:41.3%);建筑类(编码：08.28，可信度:34.35%)
经济学原理 -- 经济学(编码：02，可信度:73.27%);农业经济管理类(编码：12.03，可信度:49.82%);政治学类(编码：03.02，可信度:47.68%)
综合自然地理 -- 地理科学类(编码：07.05，可信度:56.07%);政治学类(编码：03.02，可信度:30.67%);哲学类(编码：01.01，可信度:30.43%)
公共关系学 -- 公共管理类(编码：12.04，可信度:52.45%);旅游管理类(编码：12.09，可信度:48.74%);电子商务类(编码：12.08，可信度:32.32%)
金融学 -- 金融学类(编码：02.03，可信度:70.01%);农业经济管理类(编码：12.03，可信度:44.05%);物流管理与工程类(编码：12.06，可信度:33.14%)
审计学 -- 工商管理类(编码：12.02，可信度:45.65%);管理科学与工程类(编码：12.01，可信度:43.09%);统计学类(编码：07.12，可信度:34.15%)
文艺美学 -- 外国语言文学类(编码：05.02，可信度:56.65%);护理学类(编码：10.11，可信度:51.45%);林学类(编码：09.05，可信度:41.31%)
物流信息管理 -- 物流管理与工程类(编码：12.06，可信度:57.25%);生物科学类(编码：07.10，可信度:53.98%);地理科学类(编码：07.05，可信度:49.36%)
税法(新) -- 工商管理类(编码：12.02，可信度:48.99%);外国语言文学类(编码：05.02，可信度:28.32%);护理学类(编码：10.11，可信度:27.57%)
国际服务贸易 -- 旅游管理类(编码：12.09，可信度:69.69%);金融学类(编码：02.03，可信度:45.05%);公共管理类(编码：12.04，可信度:31.2%)
学前儿童数学教育 -- 数学类(编码：07.01，可信度:66.65%);教育学类(编码：04.01，可信度:62.4%);教育学(编码：04，可信度:52.51%)
人力资源管理B -- 管理学(编码：12，可信度:70.13%);物流管理与工程类(编码：12.06，可信度:59.82%);农业经济管理类(编码：12.03，可信度:48.5%)
土地资源学 -- 农业工程类(编码：08.23，可信度:63.65%);地理科学类(编码：07.05，可信度:63.53%);环境科学与工程类(编码：08.25，可信度:56.91%)
国际法学 -- 法学(编码：03，可信度:100.0%);法学类(编码：03.01，可信度:68.1%);电子商务类(编码：12.08，可信度:60.98%)
人生哲学与传统道德 -- 哲学类(编码：01.01，可信度:74.85%);哲学(编码：01，可信度:63.78%);民族学类(编码：03.04，可信度:59.56%)
司法文书学 -- 外国语言文学类(编码：05.02，可信度:54.12%);护理学类(编码：10.11，可信度:51.39%);林学类(编码：09.05，可信度:36.97%)
小组工作 -- 社会学类(编码：03.03，可信度:69.56%);外国语言文学类(编码：05.02，可信度:44.73%);护理学类(编码：10.11，可信度:34.92%)
逻辑学 -- 哲学类(编码：01.01，可信度:72.59%);外国语言文学类(编码：05.02，可信度:36.06%);法学(编码：03，可信度:35.87%)
外国法律思想史 -- 电子商务类(编码：12.08，可信度:90.33%);法学类(编码：03.01，可信度:81.4%);法学(编码：03，可信度:54.46%)
采购学 -- 物流管理与工程类(编码：12.06，可信度:61.27%);管理科学与工程类(编码：12.01，可信度:34.13%);生物工程类(编码：08.30，可信度:27.54%)
教育技术学导论 -- 教育学(编码：04，可信度:67.85%);地球物理学类(编码：07.08，可信度:60.44%);仪器类(编码：08.03，可信度:57.53%)
会计学原理 -- 工商管理类(编码：12.02，可信度:52.46%);旅游管理类(编码：12.09，可信度:38.62%);电子商务类(编码：12.08，可信度:38.3%)
保险学 -- 金融学类(编码：02.03，可信度:61.77%);数学类(编码：07.01，可信度:27.9%);机械类(编码：08.02，可信度:19.91%)
学前儿童家庭教育 -- 教育学类(编码：04.01，可信度:61.4%);数学类(编码：07.01，可信度:52.82%);心理学类(编码：07.11，可信度:44.73%)
财务会计(上) -- 工商管理类(编码：12.02，可信度:66.0%);统计学类(编码：07.12，可信度:37.67%);经济学类(编码：02.01，可信度:37.1%)
书法 -- 美术学类(编码：13.04，可信度:67.39%);艺术学理论类(编码：13.01，可信度:49.95%);设计学类(编码：13.05，可信度:45.37%)
中级财务会计 -- 工商管理类(编码：12.02，可信度:79.15%);经济学类(编码：02.01，可信度:36.16%);外国语言文学类(编码：05.02，可信度:32.98%)
比较视野下的外国文学 -- 文学(编码：05，可信度:92.29%);中国语言文学类(编码：05.01，可信度:49.44%);戏剧与影视学类(编码：13.03，可信度:45.45%)
阅读理解与技巧 -- 护理学类(编码：10.11，可信度:50.9%);外国语言文学类(编码：05.02，可信度:47.59%);林学类(编码：09.05，可信度:39.37%)
大学语文(二) -- 管理科学与工程类(编码：12.01，可信度:80.95%);计算机类(编码：08.09，可信度:26.1%);自动化类(编码：08.08，可信度:25.94%)
审计学原理 -- 工商管理类(编码：12.02，可信度:47.48%);政治学类(编码：03.02，可信度:40.62%);农业经济管理类(编码：12.03，可信度:36.78%)
刑法学 -- 护理学类(编码：10.11，可信度:47.91%);外国语言文学类(编码：05.02，可信度:45.35%);林学类(编码：09.05，可信度:33.71%)
马克思主义基本原理 -- 马克思主义理论类(编码：03.05，可信度:75.41%);政治学类(编码：03.02，可信度:34.1%);哲学类(编码：01.01，可信度:29.25%)
可靠性理论 -- 力学类(编码：08.01，可信度:46.8%);艺术学理论类(编码：13.01，可信度:43.26%);航空航天类(编码：08.20，可信度:43.03%)
